"ITTER107","Territorio","TIPO_DATO15","Funzioni biometriche","SEXISTAT1","Sesso","ETA1","Età e classi di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATHS","decessi - dx","9","totale","Y13","13","2020","2020",9,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y6","6","2020","2020",99676,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y20","20","2020","2020",99591,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y13","13","2020","2020",99665,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y18","18","2020","2020",0.999662,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y21","21","2020","2020",0.9996035,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y21","21","2020","2020",39,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y18","18","2020","2020",32,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y13","13","2020","2020",0.9999051,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y6","6","2020","2020",0.06199,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y2","2","2020","2020",99711,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y13","13","2020","2020",99661,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y6","6","2020","2020",99673,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y2","2","2020","2020",99718,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y6","6","2020","2020",8,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y21","21","2020","2020",0.9997327,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y2","2","2020","2020",0.1199,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y18","18","2020","2020",0.9997627,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y13","13","2020","2020",67.119,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y20","20","2020","2020",60.215,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y2","2","2020","2020",82.689,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y18","18","2020","2020",99617,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y6","6","2020","2020",0.9999262,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y2","2","2020","2020",16,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y21","21","2020","2020",99577,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y20","20","2020","2020",0.26276,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y6","6","2020","2020",78.718,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y13","13","2020","2020",0.09779,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y18","18","2020","2020",22,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y21","21","2020","2020",27,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y2","2","2020","2020",0.9998562,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y20","20","2020","2020",14,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y13","13","2020","2020",0.08771,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y6","6","2020","2020",7,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y6","6","2020","2020",0.9999329,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y21","21","2020","2020",99571,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y20","20","2020","2020",62.457,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y18","18","2020","2020",99611,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y21","21","2020","2020",0.39546,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y20","20","2020","2020",0.9998664,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y13","13","2020","2020",69.382,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y18","18","2020","2020",0.32045,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y13","13","2020","2020",0.9999202,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y2","2","2020","2020",14,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y6","6","2020","2020",99708,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y13","13","2020","2020",8,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y6","6","2020","2020",99705,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y13","13","2020","2020",99594,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y20","20","2020","2020",99441,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y18","18","2020","2020",62.174,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y21","21","2020","2020",59.238,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y2","2","2020","2020",99744,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y20","20","2020","2020",99422,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y2","2","2020","2020",0.9998739,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y6","6","2020","2020",74.081,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y21","21","2020","2020",13,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y20","20","2020","2020",99501,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y6","6","2020","2020",0.07817,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y18","18","2020","2020",12,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y20","20","2020","2020",99514,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y2","2","2020","2020",0.164,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y18","18","2020","2020",0.22524,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y21","21","2020","2020",0.26664,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y13","13","2020","2020",99589,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y21","21","2020","2020",61.473,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y13","13","2020","2020",99628,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y18","18","2020","2020",64.427,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y2","2","2020","2020",99738,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y21","21","2020","2020",99383,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y6","6","2020","2020",0.07029,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y13","13","2020","2020",99624,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y20","20","2020","2020",64.801,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y18","18","2020","2020",99492,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y20","20","2020","2020",38,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y6","6","2020","2020",76.347,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y21","21","2020","2020",99403,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y18","18","2020","2020",99508,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y2","2","2020","2020",0.14254,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y18","18","2020","2020",0.9998689,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y13","13","2020","2020",0.07709,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y2","2","2020","2020",78.046,,
